,ra,dec,groupid,dv,sep_max,dis,Wen_BCG_RA,Wen_BCG_DEC,Wen_redshift,Wen_M500,ID in Wen_cat,Zou_BCG_RA,Zou_BCG_DEC,Zou_redshift,Zou_M500,ID in Zou_cat,eROSITA_cluster_RA,eROSITA_cluster_DEC,eROSITA_cluster_redshift,eROSITA_cluster_M500,ID in eROSITA_cat,in_J25,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,ps_id,ra_ps,dec_ps,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,catwise_id,ra_cat,dec_cat,pmra_cat,pmdec_cat,e_pmra_cat,e_pmdec_cat,snrw1pm,snrw2pm,w1mpropm,e_w1mpropm,w2mpropm,e_w2mpropm,chi2pmra_cat,chi2pmdec_cat,phot_bp_rp_excess_factor_c,fpm0,log_fpm0,p_gal_mean,p_qso_mean,p_star_mean,z_gaia,z_ph_xgb,z_ph_tab,z_ph_ftt,z_ph,z_xp_nn,ps1_good
0,219.28985098,38.21215336,10233,117.24061488,10.08513,69.9747243325537,219.30807,38.20095,0.8266,0.5,1350679.0,,,,,,,,,,,not in,1486735438119385728,66.22762463,65.26523315,-0.0,0.2,-0.0,0.2,-0.0,0.2,0.3,19.6099,19.1889,18.2573,1.3527,1.4849,153852192898315207,219.28986,38.212154,19.688,0.009000000000000001,19.07,0.01,18.565,0.01,18.54,0.013,18.333,0.013,b'2197p378_b0-000787',219.2898066,38.2121565,-0.0007599999999999999,0.007240000000000002,0.0044,0.0048,88.2,117.8,13.653,0.012,12.630999999999998,0.009000000000000001,4.25,8.24,0.2319,4.749,0.677,0.009000000000000001,0.991,0.0,0.5796,0.5412,0.5629,0.5884,0.5642,,True
1,219.29336263,38.212638,10233,117.24061488,10.08513,69.9747243325537,219.30807,38.20095,0.8266,0.5,1350679.0,,,,,,,,,,,not in,1486723682793116032,66.22659852,65.26246483,-0.2,0.6,-0.6,0.8,-0.7,0.9,0.3,20.5722,20.4512,19.9061,0.6662,1.3442,153852192933435769,219.29337,38.21264,20.716,0.066,20.901,0.053,20.211,0.038,20.278,0.058,19.77,0.141,b'2197p378_b0-007366',219.2933116,38.21259129999999,0.00815,0.01263,0.0228,0.025,38.5,31.8,16.25,0.028,15.441,0.034,0.56,0.55,0.1544,0.141,-0.85,0.0,1.0,0.0,0.1971,0.7635,0.5961,0.5964,0.652,,True
2,173.44932286,37.50391521,10491,117.24061488,11.69457,99.07414811588845,,,,,,,,,,,,,,,,not in,766021509029739136,175.65649793,70.65126977,-0.3,0.4,0.7,0.4,-0.2,0.5,-0.0,20.017,19.7249,19.1692,0.8479,1.2565,153001734493925316,173.44931,37.503914,19.736,0.029,19.667,0.01,19.57,0.024,19.478,0.022,19.477,0.037000000000000005,b'1743p378_b0-005003',173.4493436,37.5039665,0.0023,0.01804,0.019,0.022,45.6,42.6,16.061,0.024,14.968,0.025,0.48,0.03,0.0529,0.152,-0.818,0.0,1.0,0.0,1.38,1.5094,1.6376,1.5852,1.5774,,True
3,173.44936377,37.50716354,10491,117.24061488,11.69457,99.07414811588845,,,,,,,,,,,,,,,,not in,766021504734979072,175.64770209,70.64983470000001,1.1,1.2,-1.6,1.0,-1.9,1.5,-0.1,20.7072,20.629,20.5891,0.1181,1.1115,153001734494399225,173.44936,37.507164,20.677,0.032,20.473,0.023,20.436,0.022,20.58,0.045,20.528,0.257,b'1743p378_b0-013666',173.4495444,37.5070254,-0.00671,0.029560000000000006,0.043,0.051,23.5,17.4,16.904,0.046,16.024,0.062,2.62,1.84,-0.0473,0.011,-1.949,0.0,1.0,0.0,0.3852,1.3236,1.2089,1.1017,1.2114,,True
4,262.34818732,31.93854892,13038,1453.52016544,10.691939999999999,90.4379543228456,,,,,,,,,,,,,,,,not in,4600140665299429760,55.80025743,30.38819818,0.4,0.2,-0.0,0.2,0.0,0.2,0.3,20.195,19.4205,18.4808,1.7143,1.3556,146322623481776850,262.34818,31.938549,20.406,0.059,19.59,0.052000000000000005,19.095,0.013,18.847,0.021,18.437,0.043,b'2629p318_b0-004774',262.34821459999995,31.938555,-0.00618,0.01753,0.0077,0.0084,66.3,83.6,14.893,0.016,13.88,0.013,2.69,4.32,0.0588,3.0210000000000004,0.48,0.001,0.999,0.0,1.055,1.6861,2.2438,2.4669,2.1323,,True
5,262.34895717,31.94144616,13038,1453.52016544,10.691939999999999,90.4379543228456,,,,,,,,,,,,,,,,not in,4600140703956546560,55.80369787,30.38831242,0.7,0.3,-0.2,0.4,-0.3,0.3,0.3,20.2063,19.96,19.415,0.7913,1.2734,146332623489700322,262.34897,31.941446000000006,20.262,0.014,20.223,0.017,19.917,0.016,19.917,0.024,19.773,0.058,b'2629p318_b0-015343',262.348925,31.941347600000004,-0.01493,-0.00852,0.0182,0.0209,44.9,41.9,16.235,0.024,15.216,0.026,0.12,0.46,0.0744,0.856,-0.068,0.0,1.0,0.0,1.7186,1.7634,1.7207,1.7387,1.7409,,True
6,220.01313788,39.14448817,148475450,124.59196836,11.23452,93.85559732114288,,,,,,,,,,,,,,,,in,1487165622044212352,67.85893426,64.4241835,0.2,0.2,0.2,0.2,0.1,0.2,0.3,19.369,19.1732,18.8477,0.5213,1.1736,154972200131824056,220.01314,39.14449000000001,19.729,0.014,19.443,0.008,19.362,0.014,19.412,0.024,19.464,0.054000000000000006,b'2206p393_b0-002283',220.0131277,39.1444829,-0.01161,0.0181,0.0084,0.0103,61.2,85.1,15.322,0.018000000000000002,13.939,0.013,1.24,4.11,-0.0069,2.257,0.353,0.0,1.0,0.0,1.2523,1.2604,1.2607,1.2588,1.26,,True
7,220.01399266,39.1414387,148475450,124.59196836,11.23452,93.85559732114288,,,,,,,,,,,,,,,,in,1487165617747955712,67.85176787,64.42459278,0.4,0.2,-0.1,0.2,-0.2,0.2,0.3,19.4913,19.3462,19.0222,0.4692,1.2018,154972200140330405,220.01399,39.14144,19.379,0.003,19.269,0.043,19.21,0.02,19.525,0.05,19.51,0.097,b'2206p393_b0-003317',220.0139653,39.1414582,-0.015780000000000002,0.01086,0.0115,0.0135,57.3,69.3,15.643,0.019,14.403,0.016,1.18,0.49,0.0244,2.677,0.428,0.0,1.0,0.0,1.2716,1.2584,1.2783,1.2666,1.2678,,True
8,269.12298092,26.13122431,15535,229.96072524,12.68261,92.9090381702515,,,,,,,,,,,,,,,,in,4582817275490303360,51.60681119,22.98942515,0.5,0.4,-0.1,0.4,-0.0,0.4,0.1,20.4314,20.1424,19.6291,0.8023,1.2311,139352691230008059,269.123,26.131227,20.511,0.011,19.896,0.013,19.845,0.022,19.764,0.022,20.34,0.312,b'2683p257_b0-037880',269.1230447,26.1312861,0.02106,-0.038360000000000005,0.0377,0.0414,28.7,14.5,16.733,0.038,16.404,0.075,0.18,5.16,0.0312,0.995,-0.002,0.001,0.999,0.001,3.5157,3.653,3.4085,3.5022,3.5212,,True
9,269.12438942,26.12793614,15535,229.96072524,12.68261,92.9090381702515,,,,,,,,,,,,,,,,in,4582817245427869056,51.60392882,22.98710777,-0.1,0.1,0.0,0.1,0.1,0.1,0.1,18.2027,17.7315,17.1548,1.0479,1.1859,139352691243994122,269.1244,26.127935,18.219,0.006,17.452,0.01,17.427,0.006,17.271,0.011,17.369,0.027000000000000003,b'2683p257_b0-003706',269.1244023,26.1279357,-0.00363,-0.0087,0.006,0.0062,82.8,97.8,13.909,0.013,13.485,0.011,11.09,1.6,-0.0354,22.771,1.357,0.0,1.0,0.0,3.5043,3.548,3.4018,3.5353,3.495,,True
