,ra,dec,clusterid,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,bp_rp,phot_bp_rp_excess_factor,ps_id,ra_ps,dec_ps,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,catwise_id,ra_cat,dec_cat,pmra_cat,pmdec_cat,e_pmra_cat,e_pmdec_cat,snrw1pm,snrw2pm,w1mpropm,e_w1mpropm,w2mpropm,e_w2mpropm,chi2pmra_cat,chi2pmdec_cat,phot_bp_rp_excess_factor_c,fpm0,log_fpm0,p_gal_mean,p_qso_mean,p_star_mean,z_gaia,z_ph_xgb,z_ph_tab,z_ph_ftt,z_ph,z_xp_nn,ps1_good,sep_mean,sep_min,sep_max,"z_diff(max,z_ph)",dis(max),qso_num,S_colour,Wen_BCG_RA,Wen_BCG_DEC,Zou_BCG_RA,Zou_BCG_DEC,eROSITA_cluster_RA,eROSITA_cluster_DEC,Grade
0,253.47010072,38.76169936,10030,1352021585561433600,62.32514503,38.75900133,-0.1,0.1,-0.0,0.1,0.2,0.2,0.2,18.5078,18.5234,17.8033,0.7044,1.5528,154512534701284653,253.47011,38.761696,18.496,0.009000000000000001,18.394,0.02,18.429,0.017,17.917,0.01,18.197,0.034,b'2535p393_b0-001525',253.470117,38.76169779999999,-0.00396,-0.0038,0.0051,0.0054,77.6,105.3,13.791,0.014,12.893,0.01,3.75,19.59,0.3603,3.727,0.5710000000000001,0.0,1.0,0.0,0.3219,0.3275,0.3186,0.3486,0.3316,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
1,253.47842203,38.76213399,10030,1352021585561433088,62.32657575,38.75259464,-1.4,0.9,-3.0,1.2,-0.4,1.2,0.4,20.7386,20.8664,20.1505,0.5881,1.6297,154512534784815216,253.47842000000003,38.76213,21.075,0.031,20.888,0.043,20.69,0.028,20.621,0.075,20.193,0.202,b'2535p393_b0-034004',253.4788465,38.7619269,-0.01523,-0.13011,0.0482,0.0518,24.2,14.2,17.232,0.045,16.57,0.076,1.75,2.55,0.4451,0.004,-2.391,0.005,0.995,0.0,1.7572,2.0761,2.0906,1.9492,2.0386,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
2,253.47010072,38.76169936,10030,1352021585561433600,62.32514503,38.75900133,-0.1,0.1,-0.0,0.1,0.2,0.2,0.2,18.5078,18.5234,17.8033,0.7044,1.5528,154512534701284653,253.47011,38.761696,18.496,0.009000000000000001,18.394,0.02,18.429,0.017,17.917,0.01,18.197,0.034,b'2535p393_b0-001525',253.470117,38.76169779999999,-0.00396,-0.0038,0.0051,0.0054,77.6,105.3,13.791,0.014,12.893,0.01,3.75,19.59,0.3603,3.727,0.5710000000000001,0.0,1.0,0.0,0.3219,0.3275,0.3186,0.3486,0.3316,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
3,253.47842203,38.76213399,10030,1352021585561433088,62.32657575,38.75259464,-1.4,0.9,-3.0,1.2,-0.4,1.2,0.4,20.7386,20.8664,20.1505,0.5881,1.6297,154512534784815216,253.47842000000003,38.76213,21.075,0.031,20.888,0.043,20.69,0.028,20.621,0.075,20.193,0.202,b'2535p393_b0-034004',253.4788465,38.7619269,-0.01523,-0.13011,0.0482,0.0518,24.2,14.2,17.232,0.045,16.57,0.076,1.75,2.55,0.4451,0.004,-2.391,0.005,0.995,0.0,1.7572,2.0761,2.0906,1.9492,2.0386,,True,23.41122,23.41122,23.41122,1.7070000000000003,195.54662578279346,2.0,0.6771999999999997,,,,,,,A
4,141.40577176,38.01011552,10307,811493079411992192,185.18433824,45.86986448,0.1,0.2,0.0,0.2,0.1,0.2,-0.4,18.9099,18.7319,18.3858,0.5241,1.1944,153611414057152767,141.40576,38.010113,19.016,0.009000000000000001,18.883,0.006999999999999999,18.846,0.006,18.628,0.011,18.644,0.021,b'1421p378_b0-004007',141.4057595,38.0101417,0.00053,-0.0292,0.0152,0.0183,42.7,50.3,15.735,0.025,14.473,0.022,13.52,0.0,0.0137,4.472,0.65,0.0,1.0,0.0,2.2107,2.2103,2.1948,2.1744,2.1932,2.2464,True,30.78104,30.78104,30.78104,0.4000000000000001,259.99227092454083,2.0,0.8766999999999996,,,,,,,A
5,141.41635157,38.00821311,10307,811305406521184384,185.18737454,45.87814931,-2.3,0.9,-1.4,0.9,0.2,0.8,-0.5,20.7239,20.608,20.3751,0.3488,1.1734,153611414163340505,141.41635,38.00821,20.858,0.023,20.89,0.018000000000000002,20.615,0.015,20.584,0.045,20.346,0.147,b'1421p378_b0-023050',141.4163408,38.00830120000001,0.1134,0.0469,0.0599,0.0708,16.3,14.4,17.285999999999998,0.067,16.108,0.075,2.5,0.33,0.0033,0.08,-1.096,0.0,1.0,0.0,5.6052,1.8118,1.8132,1.7545,1.7932,,True,30.78104,30.78104,30.78104,0.4000000000000001,259.99227092454083,2.0,0.8766999999999996,,,,,,,A
6,236.12346237,37.96219232,10331,1376354881690637312,60.79669668,52.32231438,-0.5,1.2,-0.0,1.7,1.0,1.2,0.4,20.985,20.7383,19.8696,1.1154,1.5148,153552361235365216,236.12346,37.9622,20.492,0.049,20.635,0.028,20.612,0.019,20.313,0.034,20.427,0.151,b'2368p378_b0-021428',236.1235119,37.9620809,0.00197,-0.00701,0.0461,0.0508,23.0,18.1,17.236,0.047,16.279,0.06,1.91,0.24,0.2869,0.054000000000000006,-1.272,0.001,0.999,0.0,0.5555,1.5892,2.0336,2.0613,1.8947,,True,39.10626,39.10626,39.10626,1.0595,329.0579835160575,2.0,0.7490999999999997,,,,,,,A
7,236.12920025,37.95231641,10331,1376354812970813184,60.78009953,52.31843085,-0.2,0.5,0.2,0.4,0.3,0.6,-0.1,20.3569,20.4512,19.8601,0.4968,1.5166,153542361292363392,236.12921,37.952312,20.086,0.061,20.035,0.036000000000000004,20.028,0.027000000000000003,19.771,0.042,20.247,0.129,b'2368p378_b0-006010',236.1291724,37.952319,0.00242,-0.02812,0.015,0.018000000000000002,50.9,47.6,15.899,0.021,15.09,0.023,5.96,5.28,0.3374,0.503,-0.298,0.001,0.999,0.0,2.339,0.9338,0.8029,0.769,0.8352,,True,39.10626,39.10626,39.10626,1.0595,329.0579835160575,2.0,0.7490999999999997,,,,,,,A
8,267.13362856,37.17896377,10622,4609199782119249792,62.73938708,27.88799839,-0.9,0.6,-1.1,0.7,-0.4,0.8,-0.1,20.575,20.5632,19.971,0.604,1.4435,152612671336275403,267.13364,37.17897,20.706,0.041,20.453,0.048,20.442,0.052000000000000005,20.502,0.086,20.124,0.174,b'2671p378_b0-014686',267.1336798,37.1788672,0.00563,0.007240000000000002,0.0186,0.0205,44.3,43.0,16.152,0.025,15.281,0.025,2.11,0.04,0.2579,0.068,-1.165,0.0,1.0,0.0,1.0946,1.1097,1.1068,1.0983,1.1049,,True,21.250429999999998,21.250429999999998,21.250429999999998,0.4185,173.82539224591392,2.0,0.8949999999999999,,,,,,,A
9,267.14060402,37.18095296,10622,4609199885198227200,62.74311602,27.88310136,1.0,0.5,-0.5,0.5,-0.7,0.5,0.2,20.3249,20.2976,19.5995,0.7253,1.5078,152612671406237784,267.1406,37.180954,19.981,0.032,20.077,0.015,20.013,0.022,19.844,0.05,19.751,0.063,b'2671p378_b0-010861',267.1405426,37.1809381,-0.01857,-0.03025,0.0141,0.0155,52.7,56.5,15.811,0.021,14.847,0.019,2.75,0.69,0.3138,0.174,-0.759,0.001,0.999,0.0,0.6765,0.6837,0.6828,0.6928,0.6864,,True,21.250429999999998,21.250429999999998,21.250429999999998,0.4185,173.82539224591392,2.0,0.8949999999999999,,,,,,,A
